Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Max Aarons,Defender,20,1,34,29,66%,0,1,8,21,3,0,75,74,57,14,5,11,0,0,1,451,22.55,1,13,23%,2,20,1,0,12,2,0,0,0,0,0,,,,,,,,,,,,,,,
Zach Abbott,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Terry Ablade,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Josh Acheampong,Defender,1,0,0,0,0%,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tyler Adams,Midfielder,3,,,4,75%,,0,4,2,2,,7,11,4,2,2,3,,0,0,69,23.00,0,1,0%,0,4,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tosin Adarabioyo,Defender,20,6,25,21,52%,0,2,25,80,47,0,43,83,51,1,57,28,0,0,0,"1,211",60.55,0,1,0%,1,72,2,0,10,0,2,2,0,0,1,,,,,,,,,,,,,,,
Tayo Adaramola,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Elijah Adebayo,Forward,27,,,4,,,7,6,25,24,,,,,,,,,,0,197,7.30,0,5,,,,1,0,27,13,10,4,5,1,2,0.37,0,0,31,14,45%,4,,,,,,,,
Valintino Adedokun,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Simon Adingra,Forward,31,,,45,,,7,19,22,9,,,,,,,,,,1,747,24.10,6,76,,,,3,0,29,17,6,1,5,0,1,0.19,0,0,52,22,42%,4,,,,,,,,
Adler Nascimento,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Adrián,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Daniel Adu-Adjei,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Nayef Aguerd,Defender,21,2,44,26,54%,0,3,17,80,39,1,102,83,52,3,48,33,0,0,0,"1,164",55.43,0,5,0%,1,104,1,1,10,0,1,1,0,0,0,,,,,,,,,,,,,,,
